教师ID,姓名,教龄,所在地区,所在学校,任教学科,职务
TEA001,张磊,9,东莞市,东莞市东华高级中学,英语,班主任
TEA002,徐洋,4,河源市源城区,源城区河源中学,数学,班主任
TEA003,朱琪,11,梅州市梅江区,梅江区梅州中学,道德与法治,班主任
TEA004,陈丽,21,佛山市南海区,南海区石门中学,体育,班主任
TEA005,张颖,8,汕头市金平区,金平区汕头一中,历史,班主任
TEA006,孙敏,2,阳江市江城区,江城区阳江一中,美术,班主任
TEA007,胡磊,25,东莞市,东莞市东华高级中学,信息技术,班主任
TEA008,张佳,18,珠海市香洲区,香洲区第一小学,美术,班主任
TEA009,吴丽,18,韶关市浈江区,浈江区韶关一中,地理,班主任
TEA010,吴娜,2,梅州市梅县区,梅县区宪梓中学,历史,班主任
TEA011,张欣,28,肇庆市鼎湖区,鼎湖区鼎湖中学,语文,班主任
TEA012,刘伟,7,珠海市斗门区,斗门区斗门中学,音乐,班主任
TEA013,杨磊,17,江门市蓬江区,蓬江区江门一中,物理,班主任
TEA014,陈宇,17,肇庆市端州区,端州区肇庆中学,物理,班主任
TEA015,马婷,27,佛山市顺德区,顺德区德胜学校,数学,班主任
TEA016,何欣,10,江门市新会区,新会区华侨中学,音乐,班主任
TEA017,林强,13,深圳市福田区,福田区外国语学校,物理,班主任
TEA018,张伟,15,清远市清城区,清城区清远中学,政治,班主任
TEA019,刘丽,1,深圳市福田区,福田区外国语学校,化学,班主任
TEA020,朱洋,25,汕头市龙湖区,龙湖区林百欣中学,道德与法治,班主任
TEA021,马丽,11,珠海市斗门区,斗门区斗门中学,政治,班主任
TEA022,林强,23,云浮市云城区,云城区云浮中学,体育,班主任
TEA023,王磊,19,肇庆市端州区,端州区肇庆中学,物理,班主任
TEA024,罗颖,11,韶关市武江区,武江区北江中学,数学,班主任
TEA025,罗欣,17,茂名市电白区,电白区电白中学,信息技术,班主任
TEA026,马华,11,惠州市惠城区,惠城区惠州一中,音乐,班主任
TEA027,马磊,8,广州市黄埔区,黄埔区开发区中学,地理,班主任
TEA028,吴亮,20,佛山市禅城区,禅城区佛山一中,政治,班主任
TEA029,高敏,30,惠州市惠城区,惠城区惠州一中,地理,班主任
TEA030,罗华,14,广州市黄埔区,黄埔区开发区中学,信息技术,班主任
TEA031,赵强,2,惠州市惠城区,惠城区惠州一中,生物,班主任
TEA032,郭婷,20,湛江市赤坎区,赤坎区湛江一中,政治,班主任
TEA033,胡宇,11,梅州市梅江区,梅江区梅州中学,政治,班主任
TEA034,陈敏,28,珠海市斗门区,斗门区斗门中学,历史,班主任
TEA035,陈浩,15,韶关市武江区,武江区北江中学,音乐,班主任
TEA036,吴洋,23,湛江市霞山区,霞山区湛江二中,数学,班主任
TEA037,吴婷,27,揭阳市榕城区,榕城区揭阳一中,音乐,班主任
TEA038,吴磊,19,湛江市赤坎区,赤坎区湛江一中,生物,班主任
TEA039,陈浩,2,梅州市梅江区,梅江区梅州中学,政治,班主任
